id,Challenge,Idea Title,Idea URL,Assessor,triplet_id,proposal_id,Impact / Alignment Note,Impact / Alignment Rating,Feasibility Note,Feasibility Rating,Auditability Note,Auditability Rating,Blank,Filtered Out,Filtered Out: rationale
3777,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_499,499-370088,370088,,5,,5,,5,x,,
3934,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_52,52-370088,370088,"It's important for a good decision making process to have a clear documentation and summary of everything, so this project will indeed be beneficial.",5,"The work ist already being done, so it's succesful continuation is most likely. The hourly rate is a bit high for a documentation job and could maybe be set lower.",4,It's easy to see whether the project is continued. It might be easier to audit if also certain quality criteria are set.,4,,,
4241,F6: Catalyst value onboarding,Catalyst-Swarm-Genesis GitBook,http://app.ideascale.com/t/UM5UZBnTS,z_assessor_54,54-369556,369556,"We really need a section for ""additional funding"" for previously funded proposals. Even though I completely understand why the proposer requires additional funding, it is not related to the challenge DIRECTLY. 

Anyway, the idea of such a working site is definitely with the alignment of the challenge, this proposal is asking for covering the maintenance.",4,"they can deliver the product, cause it is running.",5,"marketing + maintenance records. Can be audited. 

Success = already running...so....what to measure.",4,,,
4249,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_54,54-370088,370088,"having an independent oversight for a project is a good idea. It can help with many things, with controlling the content - approve, decline - etc. Afterward, it can help the community to have filtered and relevant information. 

Also, there are more proposals which are addressing the previous proposal, rather than the challenge, therefore, it would be nice to have another special :fund: where you can increase the budget for the previous proposals, due to the growth, or changes which increase extra work. 

From this perspective, this proposal is NOT addressing the fund challenge, because it is addressing another proposal that addressed the challenge effectively in the previous fund, so this one is addressing it indirectly. Therefore I put a lower score.",3,"approved. Also a very detailed schedule was provided (even tough there is no way how to control it, it feels real)",5,"time spent on the git book is stated. I do not find it as sufficient, maybe records on approved/declined/viewed posts would also be nice (if this is automatically traceable, and considered as a standard, then I would put 5)",3,,,
4277,F6: Catalyst value onboarding,Catalyst-Swarm-Genesis GitBook,http://app.ideascale.com/t/UM5UZBnTS,z_assessor_540,540-369556,369556,"A useful proposal, to sustain and fund important work that is already being done. Having somewhere that newcomers can find a record of Swarm activities, meetings etc, helps with meaningful onboarding, as it directly addresses the challenge question about how newcomers find out about Catalyst. It also reassures newcomers about accountability and set standards for transparency; these things have a quiet but significant impact on building Catalyst's culture, and enabling people to contribute. 
It is also positive that the proposal includes ideas for sustaining itself beyond this funding round. 
",5,"The work is already being done successfully, so there is little doubt that it can continue to be implemented successfully. The budget is clear and realistic, and the roadmap makes sense. The only new thing being done with the funding is addressing marketing and publicity; this is clearly feasible within the budget and timescale, although it would be good to have a bit more detail on specific marketing plans. For example, which social media accounts will be used, who do they reach, and how will posts be targeted towards newcomers so as to address key elements of the challenge setting?",4,"There is essentially enough information to audit success - the bulk of the work is auditable via looking at the gitbook itself. But auditability info on marketing could be improved a little. I would have liked to see the proposal establish what metrics it plans to look at to assess marketing success – will it be number of engagements on social media platforms/Discord etc, or will it be how far those engagements actually drive people to the gitbook? - and perhaps to set some broad marketing targets.",4,,,
4848,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_607,607-370088,370088,"Fits the brief, has the potential to improve community confidence and answers positively ""Did we get better at distributed decision making?"" Helps group decision making be accessible to newcomers. Ensures the Catalyst process keeps iterating to improve.",5,"The proposer is qualified to bring the project to success, having already demonstrated this ability with existing documentation. The budget is reasonable, and covers two rounds of funding.",5,The roadmap shows KPIs and the project is easily trackable and verifiable by visiting the GitBook.,5,,,
4938,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_619,619-370088,370088,"As can be seen in other fields of catalyst, even though if information is publicly available it is not enough. Making the information accessible and easy to find, what one is looking for is a major factor to transparency. The proposer is already doing this on a voluntary basis at the moment and in my opinion, the provided links to his work are enough evidence of the value he adds. 

I fully agree that this work allows the community to make easier decisions by enabling them to get the information they are looking for. 

I rate this proposals impact at a 5 because I consider the service it will provide as essential to create widespread transparency about the catalyst circle, which is an important factor to all catalyst.",5,"Since the work that is proposed to be done is already ongoing, I consider it out of question that this proposal will be successfully implemented. Plenty of resources have been given to proof the capabilities of the proposer. 

The compensation asked at $40/h is fair for the UK area, so the work should also be sustainable from a monetary point of view. 

The biggest risk to implementation would be that the proposer can not continue his work because of unforeseen reasons. 

Since the mentioned risks are minimal, I give the feasibility of the proposal a rating of 5.",5,"With the demonstration of current work done, a detailed break down of time consumption of the work and a clear roadmap, there is nothing missing that would make the auditability unclear. 

Progress of the implementation of the documentation of catalyst circle is easily measured by checking availability of most recent activity documentation on the gitbook. 

I see no hurdle in auditability of this proposal and accordingly rate it at 5.",5,,,
4948,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_620,620-370088,370088,"Overall, this seems like an excellent, simple solution to the challenge of community participation and communication, as well as developing a community of committed leaders. Outsourcing and funding the administrative element of this role is generally scalable, however, you will likely have to keep adding resources if we want to truly impact the community on a global scale. This is still however, a good starting point. Any voter who understands the challenges and the whole point of the Catalyst Circle should be able to see the value in this and be able to vote effectively on it. In terms of value to the fund, effectively outsourcing the admin and social outreach/marketing, should be good value as specialists (as opposed to volunteers) will be paid to deliver, thus making the whole thing more efficient and slick.",4,"Broadly, the proposer appears to know what they are doing and I believe that they will be able to set this up. However, the funding and time commitment (especially for the marketing/social media part) seems insufficient. 4 hours a month (or an hour a week) seems as though it would be the bare minimum. It would cover the ""communication"" part of the proposal but not the ""promotion"" or ""engagement"". If we truly want it to create impact at scale, more hours and more thought will need to go into this part of the proposal. I say this as someone who has been marketing for over 10 years.",4,"The milestones and KPI's are clearly well defined. They seem very transparent however, there are no identified risks or challenges. This could be because there aren't any obvious ones but it would be good to see this considered in the proposal - as a qualified project manager (Agile), I would suggest there are always going to be some risks and challenges!",4,,,
5042,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_633,633-370088,370088,"Auditing and governance are very much alike - hard to motivate when its there and things go right but missed when things go wrong and also it is keeping things within parameters of stability. 
if you don't have some form of objective checks, you can operate on a cliff edge and not even realise it. 
So the function is important. Having too many checks can be counterproductive - and it is usually because the processes are not continuously reviewed objectively. 
Therefore as the recording/record keeping is very operational and administratively tedious and time consuming - its definitely necessary to manage that cliff edge risk.",5,"I do see that a next round of funding will help to establish this needed function more. 
Maybe I've missed it, but I would like to see more metrics/kpi's and trendlines against Circle's e.g. ""consitutional/guiding principles"" or the four major goals: 
1) To facilitate communication between the different functional groups 
2) To provide a heads-up when red lines are crossed within a certain group 
3) To suggest improvements on plans and processes that shape Project Catalyst 
4) To define the election process for Circle V2 
Maybe this can even start off to be soft evalaution and be done against member sentiment or a quick town hall or swarm vote/poll. 

Although this is limited to fund 6 - I do agree that this is also be included in fund 7",5,"the momentum is there, the need is there and it seems as if the detail is there - but I do miss more definition on what documentation and tracking is going live. 
Also this roll out to be accompanied by some dashboard/Traffic light tracker with e.g. RAG status against this defined documentation and tracking .",4,,,
5095,F6: Catalyst value onboarding,Catalyst-Swarm-Genesis GitBook,http://app.ideascale.com/t/UM5UZBnTS,z_assessor_66,66-369556,369556,This proposal effectively addresses the challenge. The goal of onboarding more people into catalyst is a necessary step to its success. The amount of information that is created weekly requires a clear and common place which can be accessed by all users. Having the Gitbook will serve as a key place for new comers to catalyst and will also be invaluable as catalyst grows to new heights. The ability to track our growth in a way that is accessible will be pivotal to continued growth.,5,"Given the experience and plan presented it is extremely likely that this proposal will be implemented successfully. Stephen has been a key player in the catalyst swarm sessions and has been providing much of his time for free to date. His participation in the swarm meetings and the follow up work behind the scenes is a testament to his willingness to continue this work on his own. The plan presented is clear, well laid out, and shows that a lot of thought has already gone into this. The links provided by the proposer also strengthen it overall by providing additional information, however the proposal itself is strong as a stand alone for voters who may not have the time/will to look at all the links. 
In addition, the budget being requested seems more than fair for this work and doesn't capture free work he has already put in.",5,"The reason I am not giving this criteria a 5 is because I would like to see more information at each of the milestones. For example, the proposer highlights that sustainability is a key component of this work and that sponsorships are being sought, but I think more information could be provided here. What type of sponsorships? Would the idea to have others eventually do the Gitbook? There is also no real contingency should something happen to the one proposer. If say he gets sick, or something happens that pulls him away, what will happen? While I do think the proposal does allow for auditing the progress and success, some additional thinking on the points raised here will strengthen the possibility of overall success. Still, great work and looking forward to the outcome.",4,,,
